name,full_participation,commonwealth_v_freeman_100001.txt,state_v_wilson_100212.txt,dk_v_state_100213.txt,state_v_davalos_100072.txt,unitedstates_v_hearns_100031.txt,unitedstates_v_powell_100018.txt,kappa,annotation_score,lsat,ug_gpa,law_qpa
489649,yes,0.19,0.517,0.522,0.44,0.778,0.353,0.229951573,0.6792,156,3.36,
320203,no,0,0.517,0,0,0,0,0.033251933,0.6771,160,3.28,
123625,yes,0.293,0.69,0.391,0.48,0.556,0.294,0.201073701,0.6771,163,3.99,3.875
390396,no,0,0.759,0,0,0,0,0.028560081,0.65,157,3.74,3.286
367897,yes,0.103,0.448,0.087,0.36,0.444,0.294,0.156520991,0.65,159,3.55,3.286
775760,yes,0.086,0.448,0.174,0.2,0.556,0.176,0.157874142,0.65,161,3.73,3.589
485280,no,0,0.759,0,0,0,0,0.027525711,0.6438,160,3.69,3.786
651850,yes,0.19,0.621,0.217,0.16,0.333,0.206,0.144805754,0.6375,165,4.19,3.607
681170,yes,0.069,0.345,0.304,0.44,0.556,0.294,0,0.6375,160,3.95,3.429
454139,no,0,0.586,0,0,0,0,0.026793249,0.6292,166,4.08,3.875
102498,yes,0.052,0.552,0.261,0.16,0.222,0.206,0.137251295,0.6271,159,3.79,3.536
983584,yes,0.155,0.241,0.391,0.64,0.778,0.353,0.1493655,0.625,164,3.4,2.929
895310,no,0.5,0.414,0.391,0,0.556,0.441,0.14027951,0.6083,158,3.42,3.375
381683,yes,0.052,0.552,0.217,0.28,0.333,0.206,0.108421951,0.6042,156,3.52,2.964
166377,no,0,0.483,0,0,0,0,0.022793902,0.5917,164,2.52,2.714
190117,no,0.121,0,0.174,0.24,0.556,0.176,0.07698455,0.5875,158,4.02,3.232
175276,yes,0.293,0.276,0.217,0.44,0.778,0.353,0,0.5583,150,3.47,2.839
660602,yes,0.172,0.448,0.087,0.44,0.333,0.235,0.157541429,0.5542,152,3.81,3.393
176297,yes,0.19,0.586,0.261,0.28,0.444,0.5,0.161323152,0.5521,151,3.6,3.393
279372,no,0.069,0.586,0,0.48,0.333,0.382,0.144075291,0.5438,153,3.78,2.875
807113,yes,0.121,0.207,0.087,0.36,0.667,0.176,0,0.5354,156,3.41,3.196
652109,yes,0.224,0.414,0.304,0.2,0.778,0.147,0.148805524,0.5229,157,3.04,2.321
892542,yes,0.103,0.759,0.435,0.56,0.889,0.324,0.136110105,0.5125,158,3.73,2.929
269214,yes,0.034,0.586,0.043,0.04,0.222,0.029,0.097391143,0.5,158,3.54,3.143
698695,yes,0.086,0.069,0.261,0.32,0.111,0.147,0.059645081,0.4938,149,3.6,2.714
213265,no,0.034,0.448,0.043,0.08,0,0.059,0.04333095,0.4729,159,3.76,3.429
324470,no,0.138,0,0.304,0,0,0,0.063364064,0.3375,156,3.32,3.161
378065,no,0,0.586,0,0,0,0,0.020531139,0.2583,155,3.72,3.179
692238,no,0.121,0.586,0,0,0,0,0.077613365,0.2146,163,3.32,3.125
257522,no,0.638,0.345,0,0,0,0,0.050262762,0.2063,156,3.27,3.411
272551,no,0,0.414,0.609,0.36,0,0,0.028291277,0.1833,161,2.99,3.286
631495,yes,0.052,0.897,0.261,0.2,0.333,0.176,0.03504495,0.1729,163,3.7,3.661
636555,no,0,0,0.522,0,0,0,0.020756571,0.1604,164,3.39,3.339
986911,no,0.052,0.241,0,0,0,0,0.023180858,0.1563,151,3.81,3.214
943776,no,0,0.621,0,0,0,0,0.018518519,0.1563,155,3.05,3.268
884726,no,0,0.724,0,0,0,0,0.01935591,0.1563,150,3.7,3.268
222779,no,0,1,0,0,0,0,0.014813003,0.0583,161,3.26,3.107
775011,no,0,0.379,0,0,0,0,0.009477577,0.0563,155,3.27,2.929
679764,no,0,0.448,0,0,0,0,0.013354364,0.0563,156,3.46,3
980637,no,0,0.138,0,0,0,0,0,0.0563,152,3.86,2.768
880253,no,0,0.414,0,0,0,0,0.008423244,0.0563,160,3.5,3.232
971009,no,0,0.241,0,0,0,0,0.010416667,0.0563,155,2.99,2.607
672694,no,0,0.172,0,0,0,0,0.010969568,0.0563,152,3.26,2.643
625063,no,0,0.379,0,0,0,0,0.005994574,0.0542,150,3.67,1.661
275280,no,0,0.31,0,0,0,0,0.004467036,0.0542,162,3.94,3.161
252750,no,0,0.345,0,0,0,0,0.005343198,0.0542,163,3.38,3.375
135221,no,0,0.414,0,0,0,0,0.001589414,0.0521,161,3.42,2.446
102740,no,0,0.207,0,0,0,0,0,0.0375,161,3.1,2.786
939318,no,0,0.379,0,0,0,0,-0.000403551,0.0375,159,3.34,2.143
148215,no,0,0.103,0,0,0,0,-0.001028433,0.0354,162,3.37,2.696
967057,no,0,0.069,0,0,0,0,-0.002356545,0.0333,154,3.19,2.446
485078,no,0,0.414,0,0,0,0,-0.006068304,0.0292,163,3.82,3.232
236892,no,0,0.172,0,0,0,0,-0.006068304,0.0271,167,3.21,3.286
